"order_id";"item_id";"quantity";"notes"
"1c8a0919750411edaf17586c25117e4e";4;5;""
"1c8a0919750411edaf17586c25117e4e";5;1;""
"1c8a0919750411edaf17586c25117e4e";8;1;""
"25684ee274e211ed8266001986003d8c";2;2;"basically raw"
"25684ee274e211ed8266001986003d8c";6;1;""
"25684ee274e211ed8266001986003d8c";7;2;"Add salt"
"3614f9b774f211eda8bd58a023af1b0c";4;7;"7 of em"
"648dc64574e211eda3db001986003d8c";3;1;"Cheaper?"
"648dc64574e211eda3db001986003d8c";5;1;"extra holes"
"648dc64574e211eda3db001986003d8c";8;4;"Room temp"
"72848a4474f511ed998e58a023af1b0c";4;7;"7 of em"
"8b30856c74e211ed8d4f001986003d8c";1;1;"w/ pepper jack"
"8b30856c74e211ed8d4f001986003d8c";6;1;""
"9cc798e0779411eda6c5586c25117e4e";3;2;""
"9cc798e0779411eda6c5586c25117e4e";5;1;"no bread, cut in half"
"9cc798e0779411eda6c5586c25117e4e";8;2;""
"9eaee43a751f11ed9d1d586c25117e4e";1;3;""
"9eaee43a751f11ed9d1d586c25117e4e";4;1;""
"9eaee43a751f11ed9d1d586c25117e4e";6;1;"extra cheese"
"9eaee43a751f11ed9d1d586c25117e4e";7;1;""
"9eaee43a751f11ed9d1d586c25117e4e";8;1;""
"b2907404779f11edad7d586c25117e4e";2;1;""
"b2907404779f11edad7d586c25117e4e";3;1;""
"b2907404779f11edad7d586c25117e4e";4;1;""
"b2907404779f11edad7d586c25117e4e";5;1;""
"b2907404779f11edad7d586c25117e4e";7;1;""
"d51dc91c758511ed88ec586c25117e4e";1;2;""
"d51dc91c758511ed88ec586c25117e4e";4;2;""
"d51dc91c758511ed88ec586c25117e4e";7;2;""
"f6921a9674e111edbe30001986003d8c";1;1;""
"f6921a9674e111edbe30001986003d8c";4;1;"extra crispy"
"f6921a9674e111edbe30001986003d8c";8;1;"With ice"
"fc71e1df74fb11ed8dd158a023af1b0c";2;1;"under done"
"fc71e1df74fb11ed8dd158a023af1b0c";3;1;""
"fc71e1df74fb11ed8dd158a023af1b0c";7;1;"extra ice"
"fe4f0b0974f411ed8b9d58a023af1b0c";4;7;"7 of em"
